Date,SMR CV,SMR L,SMR 5,SMR GP,SMR 10,SMR 20,Bulk Latex
2010-01-04,1004.5,986,976.0,973.0,956.5,954.5,606.0
2010-01-05,1015.5,995.5,988.0,985.0,968.5,966.5,613.5
2010-01-06,1022,1005.5,995.0,992.0,975.0,973.0,620.5
2010-01-07,1026.5,1013.5,1003.5,1000.5,983.5,981.5,627.5
2010-01-08,1032.5,1015.5,1004.0,1001.0,984.0,982.0,631.0
2010-01-11,1040,1020,1005.5,1002.5,985.5,983.5,635.5
2010-01-12,1049,1028,1012.0,1009.0,992.0,990.0,643.0
2010-01-13,1051.5,1031,1015.5,1012.5,995.5,993.5,646.5
2010-01-14,1058,1034.5,1019.5,1016.5,999.5,997.5,653.5
2010-01-15,1065.5,1040,1024.5,1021.5,1004.5,1002.5,660.0
2010-01-18,1065,1036.5,1020.5,1017.5,1000.5,998.5,660.0
2010-01-19,1067,1038.5,1026.5,1023.5,1006.5,1004.5,665.0
2010-01-20,1074.5,1046,1039.0,1036.0,1019.0,1017.0,673.5
2010-01-21,1082.5,1051.5,1042.0,1039.0,1022.0,1020.0,687.5
2010-01-22,1084.5,1052.5,1041.0,1038.0,1021.0,1019.0,692.0
2010-01-25,1081,1045.5,1030.5,1027.5,1010.5,1008.5,689.0
2010-01-26,1083,1046.5,1032.0,1029.0,1012.0,1010.0,689.0
2010-01-27,1084.5,1047,1027.5,1024.5,1007.5,1005.5,687.5
2010-01-28,1083.5,1041.5,1014.0,1011.0,994.0,992.0,683.5
2010-01-29,1084.5,1046.5,1010.0,1007.0,990.0,988.0,681.0
2010-02-02,1087,1053.5,1013.0,1010.0,993.0,991.0,682.0
2010-02-03,1093,1057.5,1018.5,1015.5,998.5,996.5,685.0
2010-02-04,1099,1063.5,1021.0,1018.0,1001.0,999.0,689.0
2010-02-05,1097.5,1062.5,1016.5,1013.5,996.5,994.5,688.5
2010-02-08,1094,1059.5,1009.5,1006.5,989.5,987.5,686.5
2010-02-09,1094.5,1059,1008.5,1005.5,988.5,986.5,684.0
2010-02-10,1099,1063,1013.5,1010.5,993.5,991.5,686.5
2010-02-11,1106,1070,1021.0,1018.0,1001.0,999.0,692.5
2010-02-12,1114.5,1077,1027.5,1024.5,1007.5,1005.5,700.0
2010-02-17,1121.5,1086.5,1037.5,1034.5,1017.5,1015.5,706.5
2010-02-18,1127,1092.5,1043.5,1040.5,1023.5,1021.5,711.5
2010-02-19,1132,1099.5,1048.5,1045.5,1028.0,1026.0,717.0
2010-02-22,1138,1104.5,1054.0,1051.0,1033.5,1031.5,722.0
2010-02-23,1143,1109,1058.5,1055.5,1038.0,1036.0,726.5
2010-02-24,1146.5,1112,1060.5,1057.5,1040.0,1038.0,727.5
2010-02-25,1151,1117,1065.0,1062.0,1044.5,1042.5,732.0
2010-03-01,1154,1117.5,1069.5,1066.5,1049.0,1047.0,734.5
2010-03-02,1157,1120,1073.0,1070.0,1052.5,1050.5,737.5
2010-03-03,1152,1117.5,1069.0,1066.0,1048.5,1046.5,735.0
2010-03-04,1153.5,1119,1069.5,1066.5,1049.0,1047.0,735.5
2010-03-05,1156,1119.5,1065.0,1062.0,1044.5,1042.5,734.5
2010-03-08,1162.5,1124.5,1067.0,1064.0,1046.5,1044.5,737.5
2010-03-09,1165.5,1128,1068.0,1065.0,1047.5,1045.5,740.0
2010-03-10,1166,1129.5,1066.5,1063.5,1046.0,1044.0,739.5
2010-03-11,1167,1132.5,1066.5,1063.5,1046.0,1044.0,739.0
2010-03-12,1167.5,1134,1066.0,1063.0,1045.5,1043.5,738.0
2010-03-15,1166.5,1134,1060.5,1057.5,1040.0,1038.0,736.0
2010-03-16,1164.5,1131,1049.5,1046.5,1029.0,1027.0,732.5
2010-03-17,1166,1133,1047.5,1044.5,1027.0,1025.0,732.0
2010-03-18,1169.5,1136.5,1048.5,1045.5,1028.0,1026.0,732.0
2010-03-19,1169,1139,1047.5,1044.5,1027.0,1025.0,730.5
2010-03-22,1170,1141.5,1048.5,1045.5,1028.0,1026.0,728.5
2010-03-23,1171.5,1143.5,1049.0,1046.0,1028.5,1026.5,727.5
2010-03-24,1172.5,1143.5,1046.5,1043.5,1026.0,1024.0,725.5
2010-03-25,1176.5,1146,1049.0,1046.0,1028.5,1026.5,727.0
2010-03-26,1182,1151.5,1056.5,1053.5,1036.0,1034.0,732.0
2010-03-29,1190,1157,1065.5,1062.5,1045.0,1043.0,736.0
2010-03-30,1195.5,1161,1071.5,1068.5,1051.0,1049.0,740.5
2010-03-31,1197.5,1162.5,1071.5,1068.5,1051.0,1049.0,740.0
2010-04-01,1200,1165.5,1069.5,1066.5,1049.0,1047.0,738.5
2010-04-05,1202.5,1169.5,1070.5,1067.5,1050.0,1048.0,739.5
2010-04-06,1208,1173.5,1073.0,1070.0,1052.5,1050.5,741.0
2010-04-07,1211,1177.5,1073.5,1070.5,1053.0,1051.0,746.5
2010-04-08,1211.5,1178.5,1074.0,1071.0,1053.5,1051.5,749.5
2010-04-09,1211.5,1176.5,1071.0,1068.0,1050.5,1048.5,750.0
2010-04-12,1213,1177.5,1073.0,1070.0,1052.5,1050.5,753.5
2010-04-13,1214.5,1180,1076.0,1073.0,1055.5,1053.5,756.0
2010-04-14,1215.5,1182,1077.0,1074.0,1056.5,1054.5,758.0
2010-04-15,1219,1184.5,1079.0,1076.0,1058.5,1056.5,761.5
2010-04-16,1224,1187,1082.5,1079.5,1062.0,1060.0,766.5
2010-04-19,1224,1186,1077.0,1074.0,1056.5,1054.5,766.0
2010-04-20,1226,1185.5,1074.0,1071.0,1053.5,1051.5,762.0
2010-04-21,1230.5,1189.5,1080.0,1077.0,1059.5,1057.5,766.0
2010-04-22,1230,1189,1077.0,1074.0,1056.5,1054.5,766.0
2010-04-23,1228.5,1188.5,1073.0,1070.0,1052.5,1050.5,767.0
2010-04-26,1230,1190.5,1069.0,1066.0,1048.5,1046.5,766.0
2010-04-27,1229,1189,1059.5,1056.5,1039.0,1037.0,763.0
2010-04-28,1223,1184.5,1044.5,1041.5,1024.5,1022.5,760.5
2010-04-29,1219.5,1179.5,1033.0,1030.0,1013.0,1011.0,755.0
2010-04-30,1217,1174.5,1021.5,1018.5,1001.5,999.5,749.5
2010-05-03,1211,1169,1006.5,1003.5,986.5,984.5,744.5
2010-05-04,1208,1165,998.0,995.0,978.0,976.0,738.5
2010-05-05,1202,1159.5,987.5,984.5,968.0,966.0,730.5
2010-05-06,1196,1153.5,973.5,970.5,954.0,952.0,722.0
2010-05-07,1189,1144,960.0,957.0,940.5,938.5,712.5
2010-05-10,1185.5,1139,948.0,945.0,928.5,926.5,704.5
2010-05-11,1184,1137.5,942.0,939.0,923.0,921.0,700.0
2010-05-12,1177.5,1131.5,931.5,928.5,912.5,910.5,696.5
2010-05-13,1174.5,1130,923.0,920.0,904.0,902.0,692.5
2010-05-14,1165.5,1124.5,916.0,913.0,897.0,895.0,686.5
2010-05-17,1158.5,1115.5,903.5,900.5,884.5,882.5,681.0
2010-05-18,1153.5,1109,892.0,889.0,873.5,871.5,675.5
