Date,Bulk Latex
4/1/2010,606
5/1/2010,613.5
6/1/2010,620.5
7/1/2010,627.5
8/1/2010,631
11/1/2010,635.5
12/1/2010,643
13/1/2010,646.5
14/1/2010,653.5
15/1/2010,660
18/1/2010,660
19/1/2010,665
20/1/2010,673.5
21/1/2010,687.5
22/1/2010,692
25/1/2010,689
26/1/2010,689
27/1/2010,687.5
28/1/2010,683.5
29/1/2010,681
2/2/2010,682
3/2/2010,685
4/2/2010,689
5/2/2010,688.5
8/2/2010,686.5
9/2/2010,684
10/2/2010,686.5
11/2/2010,692.5
12/2/2010,700
17/2/2010,706.5
18/2/2010,711.5
19/2/2010,717
22/2/2010,722
23/2/2010,726.5
24/2/2010,727.5
25/2/2010,732
1/3/2010,734.5
2/3/2010,737.5
3/3/2010,735
4/3/2010,735.5
5/3/2010,734.5
8/3/2010,737.5
9/3/2010,740
10/3/2010,739.5
11/3/2010,739
12/3/2010,738
15/3/2010,736
16/3/2010,732.5
17/3/2010,732
18/3/2010,732
19/3/2010,730.5
22/3/2010,728.5
23/3/2010,727.5
24/3/2010,725.5
25/3/2010,727
26/3/2010,732
29/3/2010,736
30/3/2010,740.5
31/3/2010,740
1/4/2010,738.5
5/4/2010,739.5
6/4/2010,741
7/4/2010,746.5
8/4/2010,749.5
9/4/2010,750
12/4/2010,753.5
13/4/2010,756
14/4/2010,758
15/4/2010,761.5
16/4/2010,766.5
19/4/2010,766
20/4/2010,762
21/4/2010,766
22/4/2010,766
23/4/2010,767
26/4/2010,766
27/4/2010,763
28/4/2010,760.5
29/4/2010,755
30/4/2010,749.5
3/5/2010,744.5
4/5/2010,738.5
5/5/2010,730.5
6/5/2010,722
7/5/2010,712.5
10/5/2010,704.5
11/5/2010,700
12/5/2010,696.5
13/5/2010,692.5
14/5/2010,686.5
17/5/2010,681
18/5/2010,675.5
19/5/2010,676
20/5/2010,680.5
21/5/2010,684.5
24/5/2010,688.5
25/5/2010,695
26/5/2010,703.5
27/5/2010,712.5
31/5/2010,715.5
1/6/2010,718
2/6/2010,720
3/6/2010,718.5
4/6/2010,717
7/6/2010,714
8/6/2010,708.5
9/6/2010,706.5
10/6/2010,705.5
11/6/2010,704.5
14/6/2010,705.5
15/6/2010,709.5
16/6/2010,713
17/6/2010,714.5
18/6/2010,713
21/6/2010,713.5
22/6/2010,710.5
23/6/2010,706
24/6/2010,703
25/6/2010,702
28/6/2010,705
29/6/2010,705.5
30/6/2010,701.5
1/7/2010,699
2/7/2010,699.5
5/7/2010,699.5
6/7/2010,699
7/7/2010,699.5
8/7/2010,702
9/7/2010,703
12/7/2010,701
13/7/2010,697.5
14/7/2010,693.5
15/7/2010,689.5
16/7/2010,688
19/7/2010,687.5
20/7/2010,688
21/7/2010,689
22/7/2010,687
23/7/2010,687
26/7/2010,689.5
27/7/2010,689.5
28/7/2010,688.5
29/7/2010,690.5
30/7/2010,690
2/8/2010,689
3/8/2010,691.5
4/8/2010,692
5/8/2010,693
6/8/2010,693.5
9/8/2010,695
10/8/2010,695.5
11/8/2010,694.5
12/8/2010,690.5
13/8/2010,688.5
16/8/2010,686.5
17/8/2010,686
18/8/2010,687
19/8/2010,688.5
20/8/2010,690
23/8/2010,689.5
24/8/2010,689
25/8/2010,689.5
26/8/2010,691
27/8/2010,695
30/8/2010,697
1/9/2010,699
2/9/2010,700.5
3/9/2010,701.5
6/9/2010,702
7/9/2010,703.5
8/9/2010,704
13/9/2010,704.5
14/9/2010,705.5
15/9/2010,707
17/9/2010,708.5
20/9/2010,709.5
21/9/2010,712.5
22/9/2010,717
23/9/2010,721
24/9/2010,723
27/9/2010,725.5
28/9/2010,727
29/9/2010,727.5
30/9/2010,730.5
1/10/2010,733.5
4/10/2010,734
5/10/2010,735.5
6/10/2010,737
7/10/2010,739.5
8/10/2010,742
11/10/2010,743.5
12/10/2010,750.5
13/10/2010,758.5
14/10/2010,767
15/10/2010,774.5
18/10/2010,775.5
19/10/2010,779
20/10/2010,777.5
21/10/2010,778
22/10/2010,778.5
25/10/2010,782
26/10/2010,787
27/10/2010,789.5
28/10/2010,788.5
29/10/2010,788.5
1/11/2010,786
2/11/2010,789.5
3/11/2010,794.5
4/11/2010,800
8/11/2010,811
9/11/2010,828
10/11/2010,840
11/11/2010,848.5
12/11/2010,853.5
15/11/2010,848.5
16/11/2010,853.5
18/11/2010,858.5
19/11/2010,866
22/11/2010,871.5
23/11/2010,872.5
24/11/2010,869
25/11/2010,872.5
26/11/2010,873.5
29/11/2010,873
30/11/2010,879
1/12/2010,884.5
2/12/2010,891.5
3/12/2010,898
6/12/2010,905
